# PLANTILLA DE IMPORTACIÓN - POS ANDROID
# ==========================================
# Este archivo contiene plantillas para importar PRODUCTOS y CLIENTES
# 
# INSTRUCCIONES:
# 1. Elimine las líneas que empiezan con # (son comentarios)
# 2. NO modifique los encabezados (primera línea de cada sección)
# 3. Complete los datos en las filas siguientes
# 4. Guarde el archivo y selecciónelo desde la app
#
# NOTAS IMPORTANTES:
# - Use punto (.) para decimales, NO coma
# - No use caracteres especiales en códigos
# - Los campos vacíos se llenarán con valores por defecto
# ==========================================

# ==========================================
# SECCIÓN 1: PRODUCTOS
# ==========================================
# Columnas:
# - CodArticulo: Código único del producto (obligatorio)
# - CodBarras: Código de barras (opcional)
# - Nombre: Nombre del producto (obligatorio)
# - Descripcion: Descripción detallada (opcional)
# - Precio: Precio en USD (obligatorio, use punto para decimales)
# - Stock: Cantidad en inventario (obligatorio)
# - TipoImpuesto: Tipo de IVA (obligatorio)
#   * E = Exento (productos sin IVA: alimentos básicos, medicamentos)
#   * G = General (productos con IVA 16%: mayoría de productos)
#
# EJEMPLOS DE PRODUCTOS EXENTOS (E):
# PROD001,7501001,ARROZ BLANCO 1KG,ARROZ BLANCO GRANO LARGO,1.50,200,E
# PROD002,7501002,HARINA DE MAIZ 1KG,HARINA PRECOCIDA DE MAIZ,1.20,150,E
#
# EJEMPLOS DE PRODUCTOS GRAVADOS (G):
# PROD010,7501010,LAPTOP HP 15,LAPTOP HP 15 PULGADAS 8GB RAM,450.00,10,G
# PROD011,7501011,MOUSE LOGITECH,MOUSE INALAMBRICO LOGITECH,15.00,50,G
# ==========================================

TIPO,CodArticulo,CodBarras,Nombre,Descripcion,Precio,Stock,TipoImpuesto
PRODUCTO,ALIM001,7501001001,ARROZ BLANCO 1KG,ARROZ BLANCO GRANO LARGO PRIMERA CALIDAD,1.50,200,E
PRODUCTO,ALIM002,7501001002,HARINA DE MAIZ 1KG,HARINA PRECOCIDA DE MAIZ BLANCO,1.20,150,E
PRODUCTO,ALIM003,7501001003,LECHE ENTERA 1L,LECHE ENTERA PASTEURIZADA,2.00,100,E
PRODUCTO,ALIM004,7501001004,PAN BLANCO,PAN BLANCO TIPO CANILLA,0.80,80,E
PRODUCTO,ALIM005,7501001005,AZUCAR BLANCA 1KG,AZUCAR REFINADA BLANCA,1.00,120,E
PRODUCTO,ALIM006,7501001006,ACEITE VEGETAL 1L,ACEITE VEGETAL COMESTIBLE,3.50,90,E
PRODUCTO,ALIM007,7501001007,PASTA SPAGHETTI 500G,PASTA TIPO SPAGHETTI,0.90,150,E
PRODUCTO,ALIM008,7501001008,HUEVOS BLANCOS 12U,HUEVOS BLANCOS CARTON 12 UNIDADES,2.50,60,E
PRODUCTO,MED001,7502001001,ACETAMINOFEN 500MG,ACETAMINOFEN TABLETAS 500MG CAJA X20,3.00,100,E
PRODUCTO,MED002,7502001002,IBUPROFENO 400MG,IBUPROFENO TABLETAS 400MG CAJA X20,4.50,80,E
PRODUCTO,TECH001,7503001001,LAPTOP HP 15,LAPTOP HP 15 PULGADAS 8GB RAM 256GB SSD,450.00,10,G
PRODUCTO,TECH002,7503001002,MOUSE LOGITECH,MOUSE INALAMBRICO LOGITECH M185,15.00,50,G
PRODUCTO,TECH003,7503001003,TECLADO MECANICO,TECLADO MECANICO RGB GAMING,65.00,25,G
PRODUCTO,TECH004,7503001004,MONITOR 24 PULGADAS,MONITOR LED 24 PULGADAS FULL HD,180.00,15,G
